capital,lon,lat,country,continent
Rome,12.483333,41.9,Italy,Europe,
Kingston,-76.8,18,Jamaica,North America,
Tokyo,139.75,35.68333333,Japan,Asia,
Amman,35.933333,31.95,Jordan,Asia,
Astana,71.416667,51.16666667,Kazakhstan,Asia,
Nairobi,36.816667,-1.283333333,Kenya,Africa,
Tarawa,169.533333,-0.883333333,Kiribati,Oceania,
Pristina,21.166667,42.66666667,Kosovo,Europe,
Kuwait City,47.966667,29.36666667,Kuwait,Asia,
Bishkek,74.6,42.86666667,Kyrgyzstan,Asia,
Vientiane,102.6,17.96666667,Laos,Asia,
Riga,24.1,56.95,Latvia,Europe,
Beirut,35.5,33.86666667,Lebanon,Asia,
Maseru,27.483333,-29.31666667,Lesotho,Africa,
Monrovia,-10.8,6.3,Liberia,Africa,
Tripoli,13.166667,32.88333333,Libya,Africa,
Vaduz,9.516667,47.13333333,Liechtenstein,Europe,
Vilnius,25.316667,54.68333333,Lithuania,Europe,
Luxembourg,6.116667,49.6,Luxembourg,Europe,
Skopje,21.433333,42,Macedonia,Europe,
Antananarivo,47.516667,-18.91666667,Madagascar,Africa,
Lilongwe,33.783333,-13.96666667,Malawi,Africa,
Kuala Lumpur,101.7,3.166666667,Malaysia,Asia,
Male,73.5,4.166666667,Maldives,Asia,
Bamako,-8,12.65,Mali,Africa,
Valletta,14.5,35.88333333,Malta,Europe,
Majuro,171.383333,7.1,Marshall Islands,Oceania,
Nouakchott,-15.966667,18.06666667,Mauritania,Africa,
Port Louis,57.483333,-20.15,Mauritius,Africa,
Mexico City,-99.133333,19.43333333,Mexico,North America,
Chisinau,28.85,47,Moldova,Europe,
Monaco,7.416667,43.73333333,Monaco,Europe,
Ulaanbaatar,106.916667,47.91666667,Mongolia,Asia,
Podgorica,19.266667,42.43333333,Montenegro,Europe,
Rabat,-6.816667,34.01666667,Morocco,Africa,
Maputo,32.583333,-25.95,Mozambique,Africa,
Yangon,96.15,16.8,Myanmar,Asia,
Windhoek,17.083333,-22.56666667,Namibia,Africa,
Yaren,166.920867,-0.5477,Nauru,Oceania,
Kathmandu,85.316667,27.71666667,Nepal,Asia,
Amsterdam,4.916667,52.35,Netherlands,Europe,
Wellington,174.783333,-41.3,New Zealand,Oceania,
Managua,-86.25,12.13333333,Nicaragua,North America,
Niamey,2.116667,13.51666667,Niger,Africa,
Abuja,7.533333,9.083333333,Nigeria,Africa,
Pyongyang,125.75,39.01666667,North Korea,Asia,
Oslo,10.75,59.91666667,Norway,Europe,
Muscat,58.583333,23.61666667,Oman,Asia,
Islamabad,73.05,33.68333333,Pakistan,Asia,
Melekeok,134.633333,7.483333333,Palau,Oceania,
Jerusalem,35.233333,31.76666667,Palestine,Asia,
Panama City,-79.533333,8.966666667,Panama,North America,
Port Moresby,147.183333,-9.45,Papua New Guinea,Oceania,
Asuncion,-57.666667,-25.26666667,Paraguay,South America,
Lima,-77.05,-12.05,Peru,South America,
Manila,120.966667,14.6,Philippines,Asia,
Warsaw,21,52.25,Poland,Europe,
Lisbon,-9.133333,38.71666667,Portugal,Europe,
Doha,51.533333,25.28333333,Qatar,Asia,
Brazzaville,15.283333,-4.25,Republic of Congo,Africa,
Bucharest,26.1,44.43333333,Romania,Europe,
Moscow,37.6,55.75,Russia,Europe,
Kigali,30.05,-1.95,Rwanda,Africa,
Basseterre,-62.716667,17.3,Saint Kitts and Nevis,North America,
Castries,-61,14,Saint Lucia,North America,
Kingstown,-61.216667,13.13333333,Saint Vincent and the Grenadines,North America,
Apia,-171.766667,-13.81666667,Samoa,Oceania,
San Marino,12.416667,43.93333333,San Marino,Europe,
Sao Tome,6.733333,0.333333333,Sao Tome and Principe,Africa,
Riyadh,46.7,24.65,Saudi Arabia,Asia,
Dakar,-17.633333,14.73333333,Senegal,Africa,
Belgrade,20.5,44.83333333,Serbia,Europe,
Victoria,55.45,-4.616666667,Seychelles,Africa,
Freetown,-13.233333,8.483333333,Sierra Leone,Africa,
Singapore,103.85,1.283333333,Singapore,Asia,
Bratislava,17.116667,48.15,Slovakia,Europe,
Ljubljana,14.516667,46.05,Slovenia,Europe,
Honiara,159.95,-9.433333333,Solomon Islands,Oceania,
Mogadishu,45.333333,2.066666667,Somalia,Africa,
Pretoria,28.216667,-25.7,South Africa,Africa,
Seoul,126.983333,37.55,South Korea,Asia,
Juba,31.616667,4.85,South Sudan,Africa,
Madrid,-3.683333,40.4,Spain,Europe,
Colombo,79.833333,6.916666667,Sri Lanka,Asia,
Khartoum,32.533333,15.6,Sudan,Africa,
Paramaribo,-55.166667,5.833333333,Suriname,South America,
Mbabane,31.133333,-26.31666667,Swaziland(Eswatini),Africa,
Stockholm,18.05,59.33333333,Sweden,Europe,
Bern,7.466667,46.91666667,Switzerland,Europe,
Damascus,36.3,33.5,Syria,Asia,
Taipei,121.516667,25.03333333,Taiwan,Asia,
Dushanbe,68.766667,38.55,Tajikistan,Asia,
Dodoma,35.7412183914,-5.969982637515,Tanzania,Africa,
Bangkok,100.516667,13.75,Thailand,Asia,
Banjul,-16.566667,13.45,Gambia,Africa,
Dili,125.6,-8.583333333,East Timor,Asia,
Lome,1.216667,6.116666667,Togo,Africa,
Nuku’alofa,-175.2,-21.13333333,Tonga,Oceania,
Port of Spain,-61.516667,10.65,Trinidad and Tobago,North America,
Tunis,10.183333,36.8,Tunisia,Africa,
Ankara,32.866667,39.93333333,Turkey,Europe,
Ashgabat,58.383333,37.95,Turkmenistan,Asia,
Funafuti,179.216667,-8.516666667,Tuvalu,Oceania,
Kampala,32.55,0.316666667,Uganda,Africa,
Kyiv,30.516667,50.43333333,Ukraine,Europe,
Abu Dhabi,54.366667,24.46666667,United Arab Emirates,Asia,
London,-0.083333,51.5,United Kingdom,Europe,
Washington,-77,38.883333,United States,North America,
Montevideo,-56.166667,-34.85,Uruguay,South America,
Tashkent,69.25,41.31666667,Uzbekistan,Asia,
Port-Vila,168.316667,-17.73333333,Vanuatu,Oceania,
Vatican City,12.45,41.9,Vatican City,Europe,
Caracas,-66.866667,10.48333333,Venezuela,South America,
Hanoi,105.85,21.03333333,Vietnam,Asia,
Sanaa,44.2,15.35,Yemen,Asia,
Lusaka,28.283333,-15.41666667,Zambia,Africa,
Harare,31.033333,-17.81666667,Zimbabwe,Africa,
